Publicado	Nivel	Departamento	Escuela	Zona	Cargo	Horas	Turno	Materia	Llamado	Domicilio Escuela	Articulo	Curso	Horario	Presentarse en	Prioridad	Condiciones	Observaciones	Movilidad	Impresión llamado	Estado	Motivo de Cancelación	
02/06/23 13:04	Primario	LUJÁN DE CUYO	1615 - PROVINCIAS DE CUYO	40%	MAESTRO ENSEÑANZA COMUN		Mañana	Matemática- Cs. Naturales	1er: 05/06/23 10:00	TIERRA DEL FUEGO 8220 B° EPA . CARRODILLA	52	7° B	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	En la escuela de manera presencial				línea 700- 733- 750- 751- 752		Publicado		
02/06/23 12:58	Secundario Orientado	GODOY CRUZ	4131 - MAHATMA GANDHI	10%	HORAS CATEDRA MEDIA ORIENTADA	5	Tarde	Ciencias Naturales	2do: 05/06/23 09:00	HUNGRÍA 800 B° BANCARIO . VILLA HIPODROMO	40	2° 2ª	Ma 13:30-14:10,Ma 14:10-14:50,Ju 15:40-16:20,Vi 13:30-14:10,Vi 14:10-14:50	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:55	Secundario Orientado	GODOY CRUZ	4068 - PROF. ATILIO ANASTASI	80%	HORAS CATEDRA MEDIA ORIENTADA	4	Mañana	Tecnología, Sociedad y Conocimiento	9no: 06/06/23 08:30	M. HOYOS MZ. 12 y Lago Hermoso S/N B° DOLORES PRATS DE HUISI . PTE. SARMIENTO	Cargo vacante	4° 2°	Ma 08:00-08:40,Ju 10:50-11:30,Ju 11:40-12:20,Ju 12:20-13:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:42	Secundario Orientado	CAPITAL	4226 - Cóndor de los Andes	10%	HORAS CATEDRA MEDIA ORIENTADA	12	Tarde	Orientador Social	1er: 12/06/23 15:00	Paso de los Andes 78 . QUINTA SECCION	art 40		Mi 13:30-14:10,Mi 14:10-14:50,Mi 15:00-15:40,Mi 15:40-16:20,Mi 16:30-17:10,Mi 17:10-18:00,Vi 13:30-14:10,Vi 14:10-14:50,Vi 15:00-15:40,Vi 15:40-16:20,Vi 16:30-17:10,Vi 17:10-18:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:41	Primario	GUAYMALLÉN	1449 - MANUEL IGNACIO MOLINA	80%	MAESTRO ENSEÑANZA COMUN		Mañana	Lengua y Sociedad. Ambiente y Cultura	1er: 05/06/23 12:00 | 2do: 05/06/23 12:15 | 3er: 05/06/23 12:30 | 4to: 05/06/23 12:45	PARANA 344 . PEDRO MOLINA	44-0	7° U	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	Presentarse en la escuela	Karen Jaure			Línea 300 - 500		Publicado		
02/06/23 12:40	Secundario Orientado	GUAYMALLÉN	4180 - INMIGRANTES ITALIANOS	80%	HORAS CATEDRA MEDIA ORIENTADA	2	Alternado	INGLES	2do: 06/06/23 09:00	SAN FRANCISCO 3150 B° JESÚS NAZARENO . JESÚS NAZARENO	Cargo vacante	Múltiple Domiciliario UNICA		PRESENTARSE PRESENCIALMENTE EN LA INSTITUCIÓN SAN FRANCISCO DEL MONTE 3159- JESÚS NAZARENO- GUAYMALLÉN						Publicado		
02/06/23 12:40	Primario	GUAYMALLÉN	1471 - TITO O. LACIAR	10%	MAESTRO M. ESPECIALES COMUN		Tarde	Educación Física	1er: 05/06/23 13:00	SILVANO RODRÍGUEZ 3886 . VILLA NUEVA	44-0		Ma 13:30-18:00,Ma 14:30-15:30,Ma 16:00-17:00,Mi 13:30-18:00,Ju 13:30-18:00,Ju 17:00-18:00,Vi 13:30-18:00	Presentarse en el local de la Escuela				Línea 200, 500 y 900		Publicado		
02/06/23 12:39	Primario	GUAYMALLÉN	1471 - TITO O. LACIAR	10%	HORAS CATEDRA COMUNES	10	Intermedio		1er: 05/06/23 12:40	SILVANO RODRÍGUEZ 3886 . VILLA NUEVA	Cargo vacante	Fortalecimiento de las Trayectorias	Lu 12:30-14:30,Ma 12:30-14:30,Mi 12:30-14:30,Ju 12:30-14:30,Vi 12:30-14:30	Presentarse en el local de la Escuela				Línea 200, 500 y 900		Publicado		
02/06/23 12:38	Primario	GUAYMALLÉN	1471 - TITO O. LACIAR	10%	HORAS CATEDRA COMUNES	10	Intermedio		1er: 05/06/23 12:40	SILVANO RODRÍGUEZ 3886 . VILLA NUEVA	Cargo vacante	Fortalecimientodelas Trayectorias FortalecimientoC	Lu 11:30-13:30,Ma 11:30-13:30,Mi 11:30-13:30,Ju 11:30-13:30,Vi 11:30-13:30	Presentarse en el local de la Escuela				Línea 200, 500 y 900		Publicado		
02/06/23 12:38	Secundario Orientado	SAN MARTÍN	4194 - FABIAN CATROPPA MARTÍN	110%	HORA CATEDRA MENSUAL-ALBERGUE	3	Mañana	Lengua Extranjera - Inglés	6to: 05/06/23 10:15	NANCLARES S/N N. CALIFORNIA . NUEVA CALIFORNIA	40-0	2° 3	Ma 12:10-12:45,Vi 08:20-08:55,Vi 08:55-09:30	Presentarse en GEM PAD - Llamado Virtual				310-750		Publicado		
