Publicado	Nivel	Departamento	Escuela	Zona	Cargo	Horas	Turno	Materia	Llamado	Domicilio Escuela	Articulo	Curso	Horario	Presentarse en	Prioridad	Condiciones	Observaciones	Movilidad	Impresión llamado	Estado	Motivo de Cancelación	
29/05/23 22:23	CENS	LUJÁN DE CUYO	3510/1 - S/NOMBRE - ANEXO UGARTECHE	80%	HORAS CATEDRA C.E.N.S.	4	Nocturno	Lengua y Literatura	3er: 31/05/23 20:00	Ruta 15 Km 36,5 . UGARTECHE	ART. 40	2º 4°	Mi 22:20-23:00,Vi 19:30-20:10,Vi 20:10-20:50,Vi 20:50-21:30	Presentarse en GEM PAD - Llamado Virtual			AL MOMENTO DEL ALTA PRESENTAR ORIGINAL Y COPIA DE LA DOCUMENTACIÓN VIGENTE.	CATA- BARTOLOME MITRE		Publicado		
29/05/23 22:22	CENS	LUJÁN DE CUYO	3510/1 - S/NOMBRE - ANEXO UGARTECHE	80%	HORAS CATEDRA C.E.N.S.	3	Nocturno	Lengua y Literatura	4vo: 31/05/23 19:00	Ruta 15 Km 36,5 . UGARTECHE	40	3º 2°	Mi 19:30-20:10,Mi 20:10-20:50,Mi 20:50-21:30	Presentarse en GEM PAD - Llamado Virtual			PRESENTAR AL MOMENTO DEL ALTA ORIGINAL Y COPIA DE LA DOCUMENTACIÓN VIGENTE	CATA- BARTOLOME MITRE		Publicado		
29/05/23 22:22	CENS	MALARGÜE	3512 - S/NOMBRE	80%	HORAS CATEDRA C.E.N.S.	3	Nocturno	Geografía Turística de Argentina y Mendoza	3er: 31/05/23 19:20	CARLOS JARA 1348 B° LOS INTENDENTES . MALARGÜE	40-0	3º 2	Ma 19:00-19:40,Ma 19:40-20:20,Ma 20:30-21:10	Presentarse en GEM PAD - Llamado Virtual		Presentar documentación según Resolución Nº 930-2015 y sus concordantes vigentes	Presentar la documentación según la Circular Nº 3-2023 de la Junta Calificadora de Jòvenes y Adultos	Sin Movilidad		Publicado		
29/05/23 22:15	Primario	TUNUYÁN	1061 - CORONEL PEDRO JOSÉ DIAZ	80%	MAESTRO SECRETARIO COMUN		Alternado		5to: 01/06/23 13:00	JOSÉ NESTOR LENCINAS S/N . VISTA FLORES	Cargo vacante		Lu 08:00-12:30,Ma 13:30-18:00,Mi 08:00-12:30,Ju 12:30-18:00,Vi 08:00-12:30	Regional Centro Sur- San Martín y Dalmau	Docentes titulares sin antigüedad	Presentarse con documentación según Normativa vigente. Itinerancia entre Turno Mañana y Turno Tarde		CATA		Publicado		
29/05/23 22:04	Primario	GUAYMALLÉN	1686 - PASCUAL LAURIENTE	80%	MAESTRO ENSEÑANZA COMUN		Tarde		1er: 31/05/23 13:30	BEBEDEROS 7655 B° COCUCCI . RODEO DE LA CRUZ	40	1° B	Lu 13:30-18:00,Ma 13:30-18:00,Mi 13:30-18:00,Ju 13:30-18:00,Vi 13:30-18:00	Esc. 1686 Pascual Lauriente				Grupo 200 línea 201-204		Publicado		
29/05/23 22:01	Educación Artística	MAIPÚ	5003 - PEQUEÑOS CANTORES DE MAIPÚ	10%	HORAS CATEDRA COMUNES	3	Vespertino	Teatro	1er: 05/06/23 19:00	PADRE VERA 525 . MAIPÚ	Cargo vacante	Taller Ens Voc Murga E U 1	Lu 19:30 a 22;30	el domicilio de la Escuela.	Inscritos en Junta Calificadora de Mèritos de Nivel Primario por Lenguaje y Especialidad. Bono 2023		Ofrecimiento de acuerdo a las Res 484/97, 029 y 172/2017, 1107/2019 y 609/2022	Grupo 800, 900		Publicado		
29/05/23 21:56	Primario	MAIPÚ	1029 - PROCESA SARMIENTO	60%	MAESTRO ENSEÑANZA COMUN		Mañana		1er: 31/05/23 10:00	URQUIZA S/N . COQUIMBITO	50-7	6° B	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	Presentarse en escuela			toma de posesión inmediata	grupo 800		Publicado		
29/05/23 21:49	Secundario Técnico	MALARGÜE	4228 - INGENIERO EUGENIO IZSAKY	80%	HORAS CATEDRA MEDIA TÉCNICA	4	Tarde	Representación Gráfica e Interpretación de Planos	6to: 31/05/23 09:00	Napoleón Uriburu 963 B° Centro . MALARGÜE	40-0	4° 2º	Mi 13:45-14:25,Mi 14:25-15:05,Vi 17:25-18:05,Vi 18:05-18:45	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 21:33	CENS	GRAL. ALVEAR	3445/1 - ANEXO CARMENSA	80%	HORAS CATEDRA C.E.N.S.	3	Nocturno	Economía Social	3er: 30/05/23 21:35	9 de julio S/N . CARMENSA	52	3º 3° ANEXO CARMENSA	Lu 20:40-21:20,Ma 20:40-22:10	Presentarse en GEM PAD - Llamado Virtual		SEGÚN RESOLUCIÓN Nº 930-2023 Y SUS CONCORDANTES	PRESENTAR LA DOCUMENTACIÓN SEGÚN LA CIRCULAR Nº 3-2023 DE LA JUNTA CALIFICADORA DE JÓVENES Y ADULTOS	no coincidente		Publicado		
29/05/23 21:27	CENS	LAS HERAS	3440/2 - PROF. R. BENITO VIDELA	80%	HORAS CATEDRA C.E.N.S.	2	Mañana	Ciencias Sociales	2do: 30/05/23 21:30	Martino y calle 10 B° Barrio Belgrano . EL RESGUARDO	Cargo vacante	2º CO F	Mi 15:10-16:30	Presentarse en GEM PAD - Llamado Virtual				600-670-401-461-625		Publicado		
29/05/23 21:22	Secundario Técnico	SAN RAFAEL	4043 - ANTONIO DI BENEDETTO	110%	HORAS CATEDRA MEDIA TÉCNICA	7	Tarde	Lengua	1er: 31/05/23 13:00	CORONEL CAMPOS S/N . RAMA CAIDA	40	2° 2	Lu 15:20-16:00,Lu 16:10-16:50,Mi 16:10-16:50,Mi 16:50-17:30,Vi 15:20-16:00,Vi 16:10-16:50,Vi 16:50-17:30	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 21:21	Primario	LAS HERAS	1390 - EJÉRCITO LIBERTADOR	110%	HORAS CATEDRA COMUNES	2	mañana	Educación Artística: Artes Visuales	2do: 01/06/23 10:00	RUTA INTERNACIONAL 7 km1.203 . PUNTA DE VACAS	Cargo vacante		2 horas frente a alumnos	"Escuela N° 1-390 ""Ejército Libertador"""		Hasta agotar Instancias, con toma de posesión inmediata		Andesmar		Publicado		
29/05/23 21:16	CEBJA	LAS HERAS	3202 - S/NOMBRE	110%	HORAS CATEDRA ADULTOS	1	Nocturno	Lengua Extranjera - Inglés	6to: 31/05/23 19:00	AV. LAS HERAS Y TUPUNGATO . USPALLATA	Cargo vacante	Grado Múltiple A	Ma 18:30-19:30	Presentarse en GEM PAD - Llamado Virtual		Enviar carpeta de antecedentes con documentación solicitada al mail dge3202@mendoza.edu.ar		Andesmar		Publicado		
